time,"P(B1|X3)","P(B1|X6)","P(B2|X6)"
4.140000e-11,6.014863e-01,1.432855e-03,1.460801e-03
4.160000e-11,6.048890e-01,1.435600e-03,1.463606e-03
4.180000e-11,6.082994e-01,1.438352e-03,1.466416e-03
4.200000e-11,6.117174e-01,1.441113e-03,1.469231e-03
4.220000e-11,6.151431e-01,1.443884e-03,1.472052e-03
4.240000e-11,6.185766e-01,1.446663e-03,1.474880e-03
4.260000e-11,6.220180e-01,1.449453e-03,1.477716e-03
4.280000e-11,6.254675e-01,1.452253e-03,1.480563e-03
4.300000e-11,6.289250e-01,1.455063e-03,1.483421e-03
4.320000e-11,6.323907e-01,1.457883e-03,1.486292e-03
4.340000e-11,6.358647e-01,1.460713e-03,1.489176e-03
4.360000e-11,6.393470e-01,1.463554e-03,1.492075e-03
4.380000e-11,6.428378e-01,1.466405e-03,1.494987e-03
4.400000e-11,6.463372e-01,1.469268e-03,1.497913e-03
4.420000e-11,6.498452e-01,1.472144e-03,1.500852e-03
4.440000e-11,6.533620e-01,1.475032e-03,1.503803e-03
4.460000e-11,6.568876e-01,1.477935e-03,1.506767e-03
4.480000e-11,6.604222e-01,1.480852e-03,1.509743e-03
4.500000e-11,6.639658e-01,1.483784e-03,1.512732e-03
4.520000e-11,6.675187e-01,1.486733e-03,1.515735e-03
4.540000e-11,6.710808e-01,1.489699e-03,1.518753e-03
4.560000e-11,6.746523e-01,1.492681e-03,1.521787e-03
4.580000e-11,6.782333e-01,1.495680e-03,1.524840e-03
4.600000e-11,6.818239e-01,1.498697e-03,1.527911e-03
4.620000e-11,6.854242e-01,1.501731e-03,1.531002e-03
4.640000e-11,6.890345e-01,1.504782e-03,1.534113e-03
4.660000e-11,6.926546e-01,1.507852e-03,1.537246e-03
4.680000e-11,6.962849e-01,1.510940e-03,1.540399e-03
4.700000e-11,6.999254e-01,1.514048e-03,1.543573e-03
4.720000e-11,7.035763e-01,1.517175e-03,1.546768e-03
4.740000e-11,7.072376e-01,1.520324e-03,1.549983e-03
4.760000e-11,7.109095e-01,1.523494e-03,1.553218e-03
4.780000e-11,7.145921e-01,1.526687e-03,1.556474e-03
4.800000e-11,7.182857e-01,1.529903e-03,1.559752e-03
4.820000e-11,7.219902e-01,1.533143e-03,1.563052e-03
4.840000e-11,7.257059e-01,1.536408e-03,1.566376e-03
4.860000e-11,7.294329e-01,1.539697e-03,1.569725e-03
4.880000e-11,7.331713e-01,1.543011e-03,1.573100e-03
4.900000e-11,7.369213e-01,1.546350e-03,1.576502e-03
4.920000e-11,7.406831e-01,1.549715e-03,1.579933e-03
4.940000e-11,7.444568e-01,1.553107e-03,1.583392e-03
4.960000e-11,7.482425e-01,1.556525e-03,1.586880e-03
4.980000e-11,7.520404e-01,1.559971e-03,1.590397e-03
5.000000e-11,7.558507e-01,1.563444e-03,1.593943e-03
5.020000e-11,7.596209e-01,1.568876e-03,1.599453e-03
5.040000e-11,7.631468e-01,1.585369e-03,1.616084e-03
5.060000e-11,7.661907e-01,1.627399e-03,1.658515e-03
5.080000e-11,7.686129e-01,1.708712e-03,1.740911e-03
5.100000e-11,7.703992e-01,1.837849e-03,1.872377e-03
5.120000e-11,7.716273e-01,2.016647e-03,2.055273e-03
5.140000e-11,7.724218e-01,2.240991e-03,2.285738e-03
5.160000e-11,7.729159e-01,2.502729e-03,2.555474e-03
5.180000e-11,7.732269e-01,2.791864e-03,2.853951e-03
5.200000e-11,7.734439e-01,3.098448e-03,3.170437e-03
5.220000e-11,7.736263e-01,3.413909e-03,3.495525e-03
5.240000e-11,7.738079e-01,3.731772e-03,3.822029e-03
5.260000e-11,7.740046e-01,4.047834e-03,4.145276e-03
5.280000e-11,7.742210e-01,4.359952e-03,4.462948e-03
5.300000e-11,7.744566e-01,4.667593e-03,4.774629e-03
5.320000e-11,7.747091e-01,4.971289e-03,5.081222e-03
5.340000e-11,7.749762e-01,5.272125e-03,5.384366e-03
5.360000e-11,7.752560e-01,5.571323e-03,5.685926e-03
5.380000e-11,7.755466e-01,5.869968e-03,5.987612e-03
5.400000e-11,7.758453e-01,6.168880e-03,6.290731e-03
5.420000e-11,7.761490e-01,6.468580e-03,6.596074e-03
5.440000e-11,7.764539e-01,6.769345e-03,6.903917e-03
5.460000e-11,7.767558e-01,7.071274e-03,7.214105e-03
