time,"P(B0|X4)","P(B1|X3)","P(B1|X4)","P(B2|X4)","P(B0|X6)","P(B1|X6)","P(B2|X6)"
4.700000e-11,4.237460e-04,6.999254e-01,1.721426e-02,1.755013e-02,3.725901e-05,1.514048e-03,1.543573e-03
4.750000e-11,4.258703e-04,7.090722e-01,1.730556e-02,1.764310e-02,3.746413e-05,1.521906e-03,1.551598e-03
4.800000e-11,4.280693e-04,7.182857e-01,1.739858e-02,1.773781e-02,3.766006e-05,1.529903e-03,1.559752e-03
4.850000e-11,4.304570e-04,7.275680e-01,1.749334e-02,1.783443e-02,3.785107e-05,1.538049e-03,1.568047e-03
4.900000e-11,4.329950e-04,7.369213e-01,1.758994e-02,1.793305e-02,3.804980e-05,1.546350e-03,1.576502e-03
4.950000e-11,4.355475e-04,7.463481e-01,1.768856e-02,1.803372e-02,3.826404e-05,1.554813e-03,1.585132e-03
5.000000e-11,4.380290e-04,7.558507e-01,1.778938e-02,1.813652e-02,3.848961e-05,1.563444e-03,1.593943e-03
5.050000e-11,4.411085e-04,7.647408e-01,1.791253e-02,1.826172e-02,3.964174e-05,1.602248e-03,1.633110e-03
5.100000e-11,4.478715e-04,7.703992e-01,1.813314e-02,1.848639e-02,4.787821e-05,1.837849e-03,1.872377e-03
5.150000e-11,4.567646e-04,7.726985e-01,1.838297e-02,1.874408e-02,6.841349e-05,2.367792e-03,2.416328e-03
5.200000e-11,4.604847e-04,7.734439e-01,1.852283e-02,1.888956e-02,9.631919e-05,3.098448e-03,3.170437e-03
5.250000e-11,4.564943e-04,7.739039e-01,1.855531e-02,1.891934e-02,1.206058e-04,3.890206e-03,3.984255e-03
5.300000e-11,4.512981e-04,7.744566e-01,1.858189e-02,1.893973e-02,1.352885e-04,4.667593e-03,4.774629e-03
5.350000e-11,4.532689e-04,7.751147e-01,1.867200e-02,1.902918e-02,1.448077e-04,5.421856e-03,5.535230e-03
5.400000e-11,4.636824e-04,7.758453e-01,1.882805e-02,1.919313e-02,1.585830e-04,6.168880e-03,6.290731e-03
5.450000e-11,4.759258e-04,7.766054e-01,1.902608e-02,1.940250e-02,1.810650e-04,6.920162e-03,7.058741e-03
5.500000e-11,4.828306e-04,7.773364e-01,1.925038e-02,1.963400e-02,2.076795e-04,7.678602e-03,7.839534e-03
5.550000e-11,4.838321e-04,7.779982e-01,1.949607e-02,1.988048e-02,2.301941e-04,8.443783e-03,8.624677e-03
5.600000e-11,4.848335e-04,7.785931e-01,1.976062e-02,2.014421e-02,2.452745e-04,9.214555e-03,9.408198e-03
5.650000e-11,4.916724e-04,7.791496e-01,2.004162e-02,2.042909e-02,2.573732e-04,9.988527e-03,1.019057e-02
5.700000e-11,5.043076e-04,7.796920e-01,2.033933e-02,2.073682e-02,2.735688e-04,1.076252e-02,1.097559e-02
5.750000e-11,5.174200e-04,7.802271e-01,2.065714e-02,2.106634e-02,2.962469e-04,1.153493e-02,1.176543e-02
5.800000e-11,5.262060e-04,7.807487e-01,2.099820e-02,2.141550e-02,3.211389e-04,1.230732e-02,1.255870e-02
5.850000e-11,5.311025e-04,7.812497e-01,2.136207e-02,2.178302e-02,3.421944e-04,1.308284e-02,1.335246e-02
5.900000e-11,5.368356e-04,7.817275e-01,2.174486e-02,2.216907e-02,3.577910e-04,1.386310e-02,1.414545e-02
5.950000e-11,5.472774e-04,7.821838e-01,2.214249e-02,2.257396e-02,3.719531e-04,1.464664e-02,1.493916e-02
6.000000e-11,5.616383e-04,7.826219e-01,2.255369e-02,2.299673e-02,3.898131e-04,1.543057e-02,1.573594e-02
6.050000e-11,5.756742e-04,7.830440e-01,2.298017e-02,2.343540e-02,4.123771e-04,1.621344e-02,1.653650e-02
6.100000e-11,5.862368e-04,7.834507e-01,2.342397e-02,2.388830e-02,4.358920e-04,1.699653e-02,1.733923e-02
6.150000e-11,5.943064e-04,7.838418e-01,2.388490e-02,2.435529e-02,4.560287e-04,1.778222e-02,1.814198e-02
6.200000e-11,6.036155e-04,7.842173e-01,2.436041e-02,2.483717e-02,4.722621e-04,1.857147e-02,1.894421e-02
6.250000e-11,6.166469e-04,7.845780e-01,2.484785e-02,2.533429e-02,4.880494e-04,1.936296e-02,1.974731e-02
6.300000e-11,6.322521e-04,7.849246e-01,2.534649e-02,2.584559e-02,5.070109e-04,2.015454e-02,2.055302e-02
6.350000e-11,6.471228e-04,7.852579e-01,2.585754e-02,2.636925e-02,5.292937e-04,2.094544e-02,2.136158e-02
6.400000e-11,6.592871e-04,7.855783e-01,2.638223e-02,2.690402e-02,5.517390e-04,2.173682e-02,2.217160e-02
6.450000e-11,6.699480e-04,7.858862e-01,2.692007e-02,2.744995e-02,5.713390e-04,2.253044e-02,2.298152e-02
