time,"P(B5|X9)","P(B1|X9)","P(B3|X9)","P(B2|X11)","P(B1|X12)"
3.240000e-11,7.244687e-01,-1.299084e-01,5.075370e-01,7.833227e-01,7.807427e-01
3.260000e-11,7.324536e-01,-1.319085e-01,5.119899e-01,7.834584e-01,7.807598e-01
3.280000e-11,7.415781e-01,-1.341973e-01,5.170793e-01,7.836130e-01,7.807980e-01
3.300000e-11,7.519891e-01,-1.368093e-01,5.228843e-01,7.837789e-01,7.808540e-01
3.320000e-11,7.638572e-01,-1.397847e-01,5.294961e-01,7.839485e-01,7.809239e-01
3.340000e-11,7.773819e-01,-1.431708e-01,5.370201e-01,7.841153e-01,7.810038e-01
3.360000e-11,7.927974e-01,-1.470229e-01,5.455777e-01,7.842734e-01,7.810896e-01
3.380000e-11,8.103776e-01,-1.514058e-01,5.553095e-01,7.844180e-01,7.811774e-01
3.400000e-11,8.304403e-01,-1.563952e-01,5.663794e-01,7.845451e-01,7.812634e-01
3.420000e-11,8.533492e-01,-1.620784e-01,5.789777e-01,7.846519e-01,7.813444e-01
3.440000e-11,8.795152e-01,-1.685559e-01,5.933254e-01,7.847364e-01,7.814177e-01
3.460000e-11,9.093991e-01,-1.759414e-01,6.096752e-01,7.847978e-01,7.814810e-01
3.480000e-11,9.435185e-01,-1.843640e-01,6.283098e-01,7.848361e-01,7.815328e-01
3.500000e-11,9.824622e-01,-1.939689e-01,6.495369e-01,7.848522e-01,7.815721e-01
3.520000e-11,1.026913e+00,-2.049203e-01,6.736802e-01,7.848475e-01,7.815987e-01
3.540000e-11,1.077680e+00,-2.174050e-01,7.010711e-01,7.848243e-01,7.816126e-01
3.560000e-11,1.135736e+00,-2.316374e-01,7.320410e-01,7.847853e-01,7.816147e-01
3.580000e-11,1.202250e+00,-2.478648e-01,7.669195e-01,7.847336e-01,7.816061e-01
3.600000e-11,1.278597e+00,-2.663726e-01,8.060398e-01,7.846726e-01,7.815881e-01
3.620000e-11,1.366327e+00,-2.874855e-01,8.497544e-01,7.846056e-01,7.815627e-01
3.640000e-11,1.467086e+00,-3.115638e-01,8.984620e-01,7.845363e-01,7.815314e-01
3.660000e-11,1.582505e+00,-3.389927e-01,9.526460e-01,7.844678e-01,7.814964e-01
3.680000e-11,1.714095e+00,-3.701668e-01,1.012921e+00,7.844033e-01,7.814594e-01
3.700000e-11,1.863203e+00,-4.054730e-01,1.080082e+00,7.843454e-01,7.814222e-01
3.720000e-11,2.031068e+00,-4.452782e-01,1.155144e+00,7.842965e-01,7.813864e-01
3.740000e-11,2.218969e+00,-4.899248e-01,1.239355e+00,7.842585e-01,7.813534e-01
3.760000e-11,2.428452e+00,-5.397429e-01,1.334176e+00,7.842326e-01,7.813245e-01
3.780000e-11,2.661569e+00,-5.950797e-01,1.441214e+00,7.842197e-01,7.813005e-01
3.800000e-11,2.921039e+00,-6.563494e-01,1.562127e+00,7.842201e-01,7.812821e-01
3.820000e-11,3.210199e+00,-7.241007e-01,1.698551e+00,7.842337e-01,7.812697e-01
3.840000e-11,3.532559e+00,-7.990914e-01,1.852067e+00,7.842598e-01,7.812634e-01
3.860000e-11,3.890727e+00,-8.823521e-01,2.024275e+00,7.842976e-01,7.812632e-01
3.880000e-11,4.284582e+00,-9.752089e-01,2.216967e+00,7.843460e-01,7.812688e-01
3.900000e-11,4.708937e+00,-1.079229e+00,2.432382e+00,7.844037e-01,7.812797e-01
